zip,count
000,1
0000,2
00000,10
000000,1
0001,1
00100,1
00171,1
00184,1
00200,1
002076,1
00234,2
0040,1
00505,1
00601,1
00603,3
00604,1
00610,3
00613,2
00617,3
00621,1
00623,4
00637,1
00638,1
00646,7
00647,3
00650,1
00656,2
00659,4
00660,1
00662,2
00664,1
00667,3
00674,3
00676,3
00677,1
00680,6
00681,3
00682,4
00683,1
00685,1
00690,3
00692,6
00693,6
00694,1
00698,4
00705,4
00715,1
00716,7
00717,1
00718,2
00719,4
00720,1
00723,1
00725,5
00726,2
00727,3
00729,3
00730,2
00731,1
00732,2
00733,1
00736,2
00737,1
00738,1
00739,1
00745,3
00751,3
00754,4
00757,3
00765,1
00766,1
00767,1
00769,3
00771,8
00777,5
00778,8
00780,3
00783,2
00785,2
00791,3
00794,2
00795,5
00801,1
00802,2
00803,2
00804,1
00805,1
00820,1
00821,1
00823,2
00831,2
00840,1
00851,1
00907,5
00909,2
00917,1
00918,6
00919,3
00920,3
00921,2
00922,1
00924,7
00926,17
00927,3
00929,1
00934,1
00936,3
00949,7
00950,2
00953,10
00954,1
00956,6
00957,5
00959,7
00960,2
00961,7
00962,1
00966,7
00968,3
00969,11
00970,4
00971,2
00976,14
00979,2
00982,4
00983,3
00985,3
00987,10
01001,8
01002,11
01005,1
01007,9
01008,1
01010,2
01011,1
01013,1
01016,1
01020,6
01022,1
01027,15
01028,10
01030,4
01033,1
01034,1
01035,4
01036,1
01038,2
01040,6
01050,1
01053,3
01054,3
01056,5
01057,5
01060,6
01062,3
01068,1
01069,1
01072,3
01073,2
01075,3
01077,2
01079,1
01083,1
01085,10
01088,1
01089,7
01092,1
01093,1
01095,3
01096,1
01104,1
01105,2
01106,4
01118,5
01119,2
01128,1
01151,1
01170,2
01201,12
01225,1
01230,2
01237,1
01240,3
01247,2
01253,2
01262,2
01267,1
01301,7
01330,1
01331,4
01337,1
01343,1
01346,1
01351,1
01354,2
01355,2
01364,1
01366,3
01368,1
01370,2
01373,2
01375,2
01376,3
01420,7
01430,1
01431,2
01432,3
01436,1
01440,1
01450,5
01451,4
01452,2
01453,11
01460,4
01462,6
01463,3
01464,3
01468,2
01469,3
01473,4
01475,2
01501,4
01504,1
01505,3
01506,2
01507,8
01510,4
01516,6
01518,1
01519,2
01520,4
01521,2
01523,6
01525,1
01527,4
01532,4
01534,2
01535,2
01537,2
01540,2
01541,1
01542,1
01543,3
01545,13
01550,3
01562,4
01564,2
01566,1
01568,2
01569,8
01570,4
01571,2
01581,3
01583,2
01588,2
01590,4
01602,6
01603,2
01604,3
01605,2
01606,5
01607,3
01608,1
01609,1
01610,3
01611,1
01612,2
01701,10
01702,6
01719,1
01720,8
01721,5
01730,5
01740,1
01741,2
01742,7
01745,1
01746,7
01747,2
01748,3
01749,8
01752,10
01754,6
01756,1
01757,5
01760,7
01770,3
01772,6
01773,6
01775,4
01776,6
01778,2
01801,10
01803,9
01810,12
01821,5
01824,9
01826,3
01827,2
0183,1
01830,6
01832,2
01833,1
01834,2
01835,4
0184,1
01841,1
01843,1
01844,10
01845,11
01850,2
01851,6
01852,4
01854,2
01862,2
01863,2
01864,4
01867,3
01876,10
01879,12
01880,6
01886,16
01887,3
01890,5
01902,1
01905,2
01906,5
01907,3
01908,3
01913,8
01915,14
01921,1
01922,2
01923,13
01929,1
01930,13
01938,7
01940,3
01944,2
01945,11
01949,4
01950,8
01951,3
01952,5
01960,17
01965,1
01966,2
01969,4
01970,10
01982,3
01983,3
01984,3
01985,3
02019,5
02021,1
02025,2
02026,4
02030,6
02035,6
02038,13
02043,9
02045,5
02048,8
02050,14
02051,3
02052,3
02053,4
02054,2
02056,1
02061,6
02062,11
02066,11
02067,5
02068,1
02072,3
02081,8
02090,1
02093,2
02108,3
02109,1
02110,1
02111,3
02113,1
02114,3
02115,3
02116,9
02118,3
02119,4
02120,5
02121,3
02122,5
02124,3
02125,3
02127,14
02128,6
02129,4
02130,8
02131,9
02132,4
02134,10
02135,25
02136,6
02138,14
02139,13
02140,6
02141,2
02142,4
02143,16
02144,12
02145,11
02148,12
02149,1
02150,3
02151,10
02152,4
02155,22
02169,6
02170,4
02171,3
02176,11
02180,5
02184,4
02186,7
02188,3
02189,6
02190,5
02205,1
02210,1
02215,1
02301,5
02302,2
02322,2
02324,13
02330,4
02331,1
02332,9
02333,8
02337,1
02338,2
02339,8
02341,4
02343,1
02346,11
02347,4
02351,4
02356,5
02359,3
02360,22
02364,5
02367,3
02368,2
02370,1
02375,3
02379,1
02382,4
02420,3
02421,4
02445,4
02446,9
02451,3
02452,5
02453,9
02458,5
02459,4
02460,4
02464,1
02465,2
02466,1
02467,2
02472,10
02474,9
02476,4
02478,6
02481,7
02482,2
02492,4
02493,5
02494,8
02532,5
02534,3
02536,6
02537,4
02538,1
02539,2
02540,12
02543,2
02554,6
02556,2
02557,1
02558,1
02559,2
02561,1
02562,2
02563,12
02568,1
02571,6
02575,2
02576,1
0259,1
026,1
02601,4
02630,6
02631,6
02632,8
02633,4
02635,3
02638,1
02644,4
02645,2
02648,3
02649,16
02653,2
02655,6
02657,4
02659,1
02660,1
02664,2
02667,2
02668,2
02669,1
02670,1
02672,1
02673,3
02675,4
02702,2
02703,6
02717,1
02718,1
02719,6
02720,4
02723,1
02726,3
02738,1
02739,6
02740,5
02743,4
02744,2
02745,3
02746,2
02747,8
02748,1
02760,11
02762,2
02763,1
02764,3
02766,5
02767,4
02769,4
02770,3
02771,4
02777,8
02779,1
02780,9
02790,4
02804,3
02806,6
02808,3
02809,3
02813,2
02814,1
02815,1
02816,8
02817,3
02818,13
02822,2
02828,1
02831,2
02832,1
02835,5
02838,1
02840,8
02842,2
02852,7
02857,1
02859,2
02860,3
02861,2
02864,13
02865,2
02871,11
02874,2
02878,6
02879,12
02881,1
02882,9
02885,4
02886,8
02888,4
02889,4
02891,9
02892,1
02893,6
02895,4
02896,2
02903,5
02904,7
02905,2
02906,9
02907,3
02908,5
02909,1
02910,2
02911,4
02914,3
02915,2
